HAWKIJ   Paranal_HAWKI.J.dat.txt  VegaB=0.0   J filter on VLT+HAWK-I
HAWKIH   Paranal_HAWKI.H.dat.txt  VegaB=0.0   H filter on VLT+HAWK-I
