sedmu uband_eff.dat AB sloan g at P60+SEDM (from Uli)
sedmg gband_eff.dat AB sloan g at P60+SEDM (from Uli)
sedmr rband_eff.dat AB sloan r at P60+SEDM (from Uli)
sedmi iband_eff.dat AB sloan i at P60+SEDM (from Uli)
