800	0.015067
801	0.0068735
802	0.015446
803	0.018627
804	0.013183
805	0.014945
806	0.011287
807	0.012726
808	0.013222
809	0.016092
810	0.015047
811	0.016761
812	0.012745
813	0.017781
814	0.013379
815	0.010639
816	0.012364
817	0.018736
818	0.010191
819	0.01764
820	0.0087243
821	0.013544
822	0.016297
823	0.013574
824	0.018425
825	0.013706
826	0.01486
827	0.019318
828	0.015623
829	0.014738
830	0.014083
831	0.01745
832	0.016578
833	0.010577
834	0.010818
835	0.016483
836	0.015107
837	0.016494
838	0.020261
839	0.017424
840	0.013007
841	0.011373
842	0.016942
843	0.01813
844	0.016039
845	0.011429
846	0.021657
847	0.0093643
848	0.015655
849	0.015668
850	0.018558
851	0.015042
852	0.011592
853	0.017602
854	0.012133
855	0.013148
856	0.011924
857	0.016189
858	0.010076
859	0.01528
860	0.020831
861	0.011094
862	0.007846
863	0.018462
864	0.014846
865	0.011479
866	0.011779
867	0.020126
868	0.015758
869	0.016655
870	0.016987
871	0.015369
872	0.016573
873	0.015029
874	0.015321
875	0.015105
876	0.0074202
877	0.017903
878	0.018356
879	0.018971
880	0.01051
881	0.01313
882	0.018176
883	0.014216
884	0.0082614
885	0.01756
886	0.014453
887	0.013789
888	0.013054
889	0.014987
890	0.020895
891	0.0098545
892	0.018416
893	0.018921
894	0.013139
895	0.012761
896	0.018303
897	0.014857
898	0.015789
899	0.0064711
900	0.014759
901	0.010674
902	0.015309
903	0.014573
904	0.01833
905	0.01277
906	0.01694
907	0.012423
908	0.019376
909	0.016728
910	0.019442
911	0.013053
912	0.0131
913	0.011196
914	0.017274
915	0.014549
916	0.014316
917	0.014646
918	0.01554
919	0.011121
920	0.0090147
921	0.021408
922	0.012951
923	0.016657
924	0.015926
925	0.016218
926	0.012032
927	0.014945
928	0.01158
929	0.014974
930	0.013289
931	0.027004
932	0.014234
933	0.010967
934	0.016521
935	0.013875
936	0.012005
937	0.015376
938	0.012515
939	0.016547
940	0.015475
941	0.01362
942	0.014065
943	0.016575
944	0.010758
945	0.012257
946	0.014208
947	0.015724
948	0.015467
949	0.011093
950	0.012894
951	0.016915
952	0.014582
953	0.015842
954	0.014176
955	0.015111
956	0.018718
957	0.0139
958	0.019248
959	0.022928
960	0.014525
961	0.017952
962	0.01598
963	0.021155
964	0.0093941
965	0.02094
966	0.017112
967	0.014339
968	0.016445
969	0.014282
970	0.017489
971	0.0092958
972	0.01784
973	0.01103
974	0.011028
975	0.014398
976	0.012304
977	0.01532
978	0.016887
979	0.011813
980	0.012396
981	0.013109
982	0.013546
983	0.01271
984	0.013164
985	0.014774
986	0.016709
987	0.011742
988	0.018197
989	0.014931
990	0.014845
991	0.010139
992	0.013163
993	0.016564
994	0.016515
995	0.014658
996	0.011035
997	0.015681
998	0.014343
999	0.016878
1000	0.01703
1001	0.013
1002	0.013579
1003	0.011291
1004	0.015647
1005	0.018196
1006	0.014323
1007	0.014261
1008	0.019015
1009	0.014588
1010	0.011957
1011	0.016745
1012	0.013324
1013	0.014433
1014	0.011876
1015	0.017232
1016	0.015241
1017	0.015496
1018	0.013807
1019	0.015285
1020	0.01368
1021	0.015103
1022	0.011987
1023	0.025264
1024	0.01348
1025	0.019478
1026	0.013431
1027	0.014198
1028	0.018622
1029	0.019692
1030	0.018555
1031	0.012242
1032	0.015812
1033	0.015552
1034	0.018962
1035	0.011751
1036	0.014651
1037	0.016386
1038	0.013917
1039	0.015091
1040	0.01307
1041	0.014174
1042	0.014798
1043	0.016472
1044	0.012158
1045	0.010798
1046	0.015674
1047	0.021313
1048	0.020658
1049	0.017216
1050	0.011795
1051	0.020514
1052	0.013076
1053	0.013417
1054	0.01569
1055	0.014184
1056	0.014246
1057	0.015751
1058	0.013386
1059	0.015905
1060	0.017402
1061	0.010402
1062	0.016147
1063	0.014553
1064	0.013078
1065	0.019031
1066	0.011357
1067	0.013764
1068	0.015586
1069	0.015117
1070	0.016012
1071	0.0096572
1072	0.017726
1073	0.018376
1074	0.014315
1075	0.015547
1076	0.010918
