ztf_g ztf_g_band.dat AB "ZTF g band from U. Feindt: Tranmission+QE"
ztf_r ztf_r_band.dat AB "ZTF r band from U. Feindt: Tranmission+QE"
ztf_i ztf_i_band.dat AB "ZTF i band from U. Feindt: Tranmission+QE"
