VISTAY   Paranal_VISTA.Y.dat.txt  VegaB=0.0   Y filter on VISTA+VIRCAM
VISTAJ   Paranal_VISTA.J.dat.txt  VegaB=0.0   J filter on VISTA+VIRCAM
VISTAH   Paranal_VISTA.H.dat.txt  VegaB=0.0   H filter on VISTA+VIRCAM
VISTAKs  Paranal_VISTA.Ks.dat.txt VegaB=0.0   K filter on VISTA+VIRCAM
