Umo not_u_mo_mod.dat 14.0686033931 NOT MOSCA effective U-band
Bmo not_b_mo_mod.dat 15.3527377344 NOT MOSCA effective B-band
Vmo not_v_mo.dat 14.9349509438 NOT MOSCA effective V-band
Rmo not_r_mo.dat 14.8976482706 NOT MOSCA effective R-band
Imo not_i_mo.dat 14.373480459 NOT MOSCA effective I_int-band
