rspm rspm.dat AB SPM RATIR r-filter (AB)
ispm ispm.dat AB SPM RATIR i-filter (AB)
zspm zspm.dat AB SPM RATIR z-filter (AB)
Yspm Yspm.dat VegaB=0 SPM RATIR Y-filter (Vega)
Jspm Jspm.dat VegaB=0 SPM RATIR J-filter (Vega)
Hspm Hspm.dat VegaB=0 SPM RATIR H-filter (Vega)
Yspm_AB Yspm.dat AB SPM RATIR Y-filter (AB)
Jspm_AB Jspm.dat AB SPM RATIR J-filter (AB)
Hspm_AB Hspm.dat AB SPM RATIR H-filter (AB)
